PING 10.10.9.1 (10.10.9.1) 56(84) bytes of data.
64 bytes from 10.10.9.1: icmp_seq=1 ttl=63 time=5642 ms
64 bytes from 10.10.9.1: icmp_seq=4 ttl=63 time=2625 ms
64 bytes from 10.10.9.1: icmp_seq=7 ttl=63 time=0.242 ms
64 bytes from 10.10.9.1: icmp_seq=5 ttl=63 time=2868 ms
64 bytes from 10.10.9.1: icmp_seq=8 ttl=63 time=0.031 ms
64 bytes from 10.10.9.1: icmp_seq=3 ttl=63 time=5241 ms
64 bytes from 10.10.9.1: icmp_seq=2 ttl=63 time=6994 ms
64 bytes from 10.10.9.1: icmp_seq=9 ttl=63 time=0.069 ms
64 bytes from 10.10.9.1: icmp_seq=6 ttl=63 time=3465 ms
64 bytes from 10.10.9.1: icmp_seq=10 ttl=63 time=578 ms
64 bytes from 10.10.9.1: icmp_seq=11 ttl=63 time=0.266 ms
64 bytes from 10.10.9.1: icmp_seq=12 ttl=63 time=0.284 ms
64 bytes from 10.10.9.1: icmp_seq=13 ttl=63 time=0.173 ms
64 bytes from 10.10.9.1: icmp_seq=14 ttl=63 time=0.147 ms
64 bytes from 10.10.9.1: icmp_seq=15 ttl=63 time=0.092 ms
64 bytes from 10.10.9.1: icmp_seq=16 ttl=63 time=0.060 ms
64 bytes from 10.10.9.1: icmp_seq=17 ttl=63 time=0.174 ms
64 bytes from 10.10.9.1: icmp_seq=18 ttl=63 time=0.129 ms
64 bytes from 10.10.9.1: icmp_seq=19 ttl=63 time=0.104 ms
64 bytes from 10.10.9.1: icmp_seq=20 ttl=63 time=0.100 ms
64 bytes from 10.10.9.1: icmp_seq=21 ttl=63 time=0.125 ms
64 bytes from 10.10.9.1: icmp_seq=22 ttl=63 time=0.114 ms
64 bytes from 10.10.9.1: icmp_seq=23 ttl=63 time=0.039 ms
64 bytes from 10.10.9.1: icmp_seq=24 ttl=63 time=0.064 ms
64 bytes from 10.10.9.1: icmp_seq=25 ttl=63 time=0.037 ms
64 bytes from 10.10.9.1: icmp_seq=26 ttl=63 time=0.038 ms
64 bytes from 10.10.9.1: icmp_seq=27 ttl=63 time=0.117 ms
64 bytes from 10.10.9.1: icmp_seq=28 ttl=63 time=0.372 ms
64 bytes from 10.10.9.1: icmp_seq=29 ttl=63 time=0.078 ms
64 bytes from 10.10.9.1: icmp_seq=30 ttl=63 time=0.134 ms
64 bytes from 10.10.9.1: icmp_seq=31 ttl=63 time=0.101 ms
64 bytes from 10.10.9.1: icmp_seq=32 ttl=63 time=0.050 ms
64 bytes from 10.10.9.1: icmp_seq=33 ttl=63 time=0.035 ms
64 bytes from 10.10.9.1: icmp_seq=34 ttl=63 time=0.091 ms
64 bytes from 10.10.9.1: icmp_seq=35 ttl=63 time=0.102 ms
64 bytes from 10.10.9.1: icmp_seq=36 ttl=63 time=0.102 ms
64 bytes from 10.10.9.1: icmp_seq=37 ttl=63 time=0.128 ms
64 bytes from 10.10.9.1: icmp_seq=38 ttl=63 time=0.124 ms
64 bytes from 10.10.9.1: icmp_seq=39 ttl=63 time=0.189 ms
64 bytes from 10.10.9.1: icmp_seq=40 ttl=63 time=0.151 ms
64 bytes from 10.10.9.1: icmp_seq=41 ttl=63 time=0.123 ms
64 bytes from 10.10.9.1: icmp_seq=42 ttl=63 time=0.115 ms
64 bytes from 10.10.9.1: icmp_seq=43 ttl=63 time=0.097 ms
64 bytes from 10.10.9.1: icmp_seq=44 ttl=63 time=0.058 ms
64 bytes from 10.10.9.1: icmp_seq=45 ttl=63 time=0.100 ms
64 bytes from 10.10.9.1: icmp_seq=46 ttl=63 time=0.094 ms
64 bytes from 10.10.9.1: icmp_seq=47 ttl=63 time=0.238 ms
64 bytes from 10.10.9.1: icmp_seq=48 ttl=63 time=0.157 ms
64 bytes from 10.10.9.1: icmp_seq=49 ttl=63 time=0.188 ms
64 bytes from 10.10.9.1: icmp_seq=50 ttl=63 time=0.124 ms

--- 10.10.9.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49742ms
rtt min/avg/max/mdev = 0.031/548.417/6994.189/1553.392 ms, pipe 7
