PING 10.10.12.1 (10.10.12.1) 56(84) bytes of data.
64 bytes from 10.10.12.1: icmp_seq=1 ttl=63 time=4951 ms
64 bytes from 10.10.12.1: icmp_seq=6 ttl=63 time=0.129 ms
64 bytes from 10.10.12.1: icmp_seq=4 ttl=63 time=2326 ms
64 bytes from 10.10.12.1: icmp_seq=7 ttl=63 time=0.039 ms
64 bytes from 10.10.12.1: icmp_seq=3 ttl=63 time=4538 ms
64 bytes from 10.10.12.1: icmp_seq=8 ttl=63 time=0.029 ms
64 bytes from 10.10.12.1: icmp_seq=2 ttl=63 time=6332 ms
64 bytes from 10.10.12.1: icmp_seq=5 ttl=63 time=3718 ms
64 bytes from 10.10.12.1: icmp_seq=9 ttl=63 time=0.046 ms
64 bytes from 10.10.12.1: icmp_seq=10 ttl=63 time=578 ms
64 bytes from 10.10.12.1: icmp_seq=11 ttl=63 time=0.144 ms
64 bytes from 10.10.12.1: icmp_seq=12 ttl=63 time=0.117 ms
64 bytes from 10.10.12.1: icmp_seq=13 ttl=63 time=0.091 ms
64 bytes from 10.10.12.1: icmp_seq=14 ttl=63 time=0.058 ms
64 bytes from 10.10.12.1: icmp_seq=15 ttl=63 time=0.053 ms
64 bytes from 10.10.12.1: icmp_seq=16 ttl=63 time=0.297 ms
64 bytes from 10.10.12.1: icmp_seq=17 ttl=63 time=0.104 ms
64 bytes from 10.10.12.1: icmp_seq=18 ttl=63 time=0.067 ms
64 bytes from 10.10.12.1: icmp_seq=19 ttl=63 time=0.103 ms
64 bytes from 10.10.12.1: icmp_seq=20 ttl=63 time=0.039 ms
64 bytes from 10.10.12.1: icmp_seq=21 ttl=63 time=0.033 ms
64 bytes from 10.10.12.1: icmp_seq=22 ttl=63 time=0.036 ms
64 bytes from 10.10.12.1: icmp_seq=23 ttl=63 time=0.060 ms
64 bytes from 10.10.12.1: icmp_seq=24 ttl=63 time=0.070 ms
64 bytes from 10.10.12.1: icmp_seq=25 ttl=63 time=0.116 ms
64 bytes from 10.10.12.1: icmp_seq=26 ttl=63 time=0.234 ms
64 bytes from 10.10.12.1: icmp_seq=27 ttl=63 time=0.039 ms
64 bytes from 10.10.12.1: icmp_seq=28 ttl=63 time=0.028 ms
64 bytes from 10.10.12.1: icmp_seq=29 ttl=63 time=0.138 ms
64 bytes from 10.10.12.1: icmp_seq=30 ttl=63 time=0.038 ms
64 bytes from 10.10.12.1: icmp_seq=31 ttl=63 time=0.041 ms
64 bytes from 10.10.12.1: icmp_seq=32 ttl=63 time=0.095 ms
64 bytes from 10.10.12.1: icmp_seq=33 ttl=63 time=0.043 ms
64 bytes from 10.10.12.1: icmp_seq=34 ttl=63 time=0.251 ms
64 bytes from 10.10.12.1: icmp_seq=35 ttl=63 time=0.092 ms
64 bytes from 10.10.12.1: icmp_seq=36 ttl=63 time=0.097 ms
64 bytes from 10.10.12.1: icmp_seq=37 ttl=63 time=0.037 ms
64 bytes from 10.10.12.1: icmp_seq=38 ttl=63 time=0.083 ms
64 bytes from 10.10.12.1: icmp_seq=39 ttl=63 time=0.041 ms
64 bytes from 10.10.12.1: icmp_seq=40 ttl=63 time=0.030 ms
64 bytes from 10.10.12.1: icmp_seq=41 ttl=63 time=0.149 ms
64 bytes from 10.10.12.1: icmp_seq=42 ttl=63 time=0.074 ms
64 bytes from 10.10.12.1: icmp_seq=43 ttl=63 time=0.067 ms
64 bytes from 10.10.12.1: icmp_seq=44 ttl=63 time=0.260 ms
64 bytes from 10.10.12.1: icmp_seq=45 ttl=63 time=0.050 ms
64 bytes from 10.10.12.1: icmp_seq=46 ttl=63 time=0.182 ms
64 bytes from 10.10.12.1: icmp_seq=47 ttl=63 time=0.134 ms
64 bytes from 10.10.12.1: icmp_seq=48 ttl=63 time=0.040 ms
64 bytes from 10.10.12.1: icmp_seq=49 ttl=63 time=0.065 ms
64 bytes from 10.10.12.1: icmp_seq=50 ttl=63 time=0.380 ms

--- 10.10.12.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49867ms
rtt min/avg/max/mdev = 0.028/449.016/6332.777/1376.345 ms, pipe 7
