PING 10.10.4.1 (10.10.4.1) 56(84) bytes of data.
64 bytes from 10.10.4.1: icmp_seq=1 ttl=63 time=13736 ms
64 bytes from 10.10.4.1: icmp_seq=4 ttl=63 time=10740 ms
64 bytes from 10.10.4.1: icmp_seq=15 ttl=63 time=0.101 ms
64 bytes from 10.10.4.1: icmp_seq=8 ttl=63 time=7947 ms
64 bytes from 10.10.4.1: icmp_seq=16 ttl=63 time=0.092 ms
64 bytes from 10.10.4.1: icmp_seq=17 ttl=63 time=0.108 ms
64 bytes from 10.10.4.1: icmp_seq=18 ttl=63 time=0.161 ms
64 bytes from 10.10.4.1: icmp_seq=5 ttl=63 time=13304 ms
64 bytes from 10.10.4.1: icmp_seq=9 ttl=63 time=9589 ms
64 bytes from 10.10.4.1: icmp_seq=19 ttl=63 time=0.142 ms
64 bytes from 10.10.4.1: icmp_seq=3 ttl=63 time=16612 ms
64 bytes from 10.10.4.1: icmp_seq=10 ttl=63 time=10057 ms
64 bytes from 10.10.4.1: icmp_seq=20 ttl=63 time=0.068 ms
64 bytes from 10.10.4.1: icmp_seq=11 ttl=63 time=9607 ms
64 bytes from 10.10.4.1: icmp_seq=6 ttl=63 time=14938 ms
64 bytes from 10.10.4.1: icmp_seq=12 ttl=63 time=9009 ms
64 bytes from 10.10.4.1: icmp_seq=21 ttl=63 time=0.072 ms
64 bytes from 10.10.4.1: icmp_seq=2 ttl=63 time=19347 ms
64 bytes from 10.10.4.1: icmp_seq=13 ttl=63 time=8366 ms
64 bytes from 10.10.4.1: icmp_seq=14 ttl=63 time=7651 ms
64 bytes from 10.10.4.1: icmp_seq=7 ttl=63 time=14898 ms
64 bytes from 10.10.4.1: icmp_seq=22 ttl=63 time=0.146 ms
64 bytes from 10.10.4.1: icmp_seq=23 ttl=63 time=0.076 ms
64 bytes from 10.10.4.1: icmp_seq=24 ttl=63 time=0.242 ms
64 bytes from 10.10.4.1: icmp_seq=25 ttl=63 time=0.259 ms
64 bytes from 10.10.4.1: icmp_seq=26 ttl=63 time=0.261 ms
64 bytes from 10.10.4.1: icmp_seq=27 ttl=63 time=0.037 ms
64 bytes from 10.10.4.1: icmp_seq=28 ttl=63 time=0.042 ms
64 bytes from 10.10.4.1: icmp_seq=29 ttl=63 time=0.041 ms
64 bytes from 10.10.4.1: icmp_seq=30 ttl=63 time=0.051 ms
64 bytes from 10.10.4.1: icmp_seq=31 ttl=63 time=0.172 ms
64 bytes from 10.10.4.1: icmp_seq=32 ttl=63 time=0.139 ms
64 bytes from 10.10.4.1: icmp_seq=33 ttl=63 time=0.103 ms
64 bytes from 10.10.4.1: icmp_seq=34 ttl=63 time=0.071 ms
64 bytes from 10.10.4.1: icmp_seq=35 ttl=63 time=0.134 ms
64 bytes from 10.10.4.1: icmp_seq=36 ttl=63 time=0.106 ms
64 bytes from 10.10.4.1: icmp_seq=37 ttl=63 time=0.041 ms
64 bytes from 10.10.4.1: icmp_seq=38 ttl=63 time=0.069 ms
64 bytes from 10.10.4.1: icmp_seq=39 ttl=63 time=0.042 ms
64 bytes from 10.10.4.1: icmp_seq=40 ttl=63 time=0.042 ms
64 bytes from 10.10.4.1: icmp_seq=41 ttl=63 time=0.081 ms
64 bytes from 10.10.4.1: icmp_seq=42 ttl=63 time=0.133 ms
64 bytes from 10.10.4.1: icmp_seq=43 ttl=63 time=0.062 ms
64 bytes from 10.10.4.1: icmp_seq=44 ttl=63 time=0.045 ms
64 bytes from 10.10.4.1: icmp_seq=45 ttl=63 time=0.074 ms
64 bytes from 10.10.4.1: icmp_seq=46 ttl=63 time=0.177 ms
64 bytes from 10.10.4.1: icmp_seq=47 ttl=63 time=0.045 ms
64 bytes from 10.10.4.1: icmp_seq=48 ttl=63 time=0.068 ms
64 bytes from 10.10.4.1: icmp_seq=49 ttl=63 time=0.048 ms
64 bytes from 10.10.4.1: icmp_seq=50 ttl=63 time=0.040 ms

--- 10.10.4.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49817ms
rtt min/avg/max/mdev = 0.037/3316.250/19347.707/5630.144 ms, pipe 20
