PING 10.10.12.1 (10.10.12.1) 56(84) bytes of data.
64 bytes from 10.10.12.1: icmp_seq=1 ttl=63 time=8926 ms
64 bytes from 10.10.12.1: icmp_seq=3 ttl=63 time=6895 ms
64 bytes from 10.10.12.1: icmp_seq=6 ttl=63 time=4334 ms
64 bytes from 10.10.12.1: icmp_seq=2 ttl=63 time=9570 ms
64 bytes from 10.10.12.1: icmp_seq=7 ttl=63 time=5144 ms
64 bytes from 10.10.12.1: icmp_seq=4 ttl=63 time=9038 ms
64 bytes from 10.10.12.1: icmp_seq=8 ttl=63 time=5851 ms
64 bytes from 10.10.12.1: icmp_seq=5 ttl=63 time=10094 ms
64 bytes from 10.10.12.1: icmp_seq=15 ttl=63 time=1771 ms
64 bytes from 10.10.12.1: icmp_seq=16 ttl=63 time=769 ms
64 bytes from 10.10.12.1: icmp_seq=17 ttl=63 time=0.061 ms
64 bytes from 10.10.12.1: icmp_seq=18 ttl=63 time=0.200 ms
64 bytes from 10.10.12.1: icmp_seq=19 ttl=63 time=0.034 ms
64 bytes from 10.10.12.1: icmp_seq=20 ttl=63 time=0.048 ms
64 bytes from 10.10.12.1: icmp_seq=21 ttl=63 time=0.098 ms
64 bytes from 10.10.12.1: icmp_seq=22 ttl=63 time=0.119 ms
64 bytes from 10.10.12.1: icmp_seq=23 ttl=63 time=0.067 ms
64 bytes from 10.10.12.1: icmp_seq=24 ttl=63 time=0.424 ms
64 bytes from 10.10.12.1: icmp_seq=25 ttl=63 time=0.036 ms
64 bytes from 10.10.12.1: icmp_seq=26 ttl=63 time=0.033 ms
64 bytes from 10.10.12.1: icmp_seq=27 ttl=63 time=0.062 ms
64 bytes from 10.10.12.1: icmp_seq=28 ttl=63 time=0.361 ms
64 bytes from 10.10.12.1: icmp_seq=29 ttl=63 time=0.034 ms
64 bytes from 10.10.12.1: icmp_seq=30 ttl=63 time=0.120 ms
64 bytes from 10.10.12.1: icmp_seq=31 ttl=63 time=0.146 ms
64 bytes from 10.10.12.1: icmp_seq=32 ttl=63 time=0.251 ms
64 bytes from 10.10.12.1: icmp_seq=33 ttl=63 time=0.145 ms
64 bytes from 10.10.12.1: icmp_seq=34 ttl=63 time=0.240 ms
64 bytes from 10.10.12.1: icmp_seq=35 ttl=63 time=0.039 ms
64 bytes from 10.10.12.1: icmp_seq=36 ttl=63 time=0.187 ms
64 bytes from 10.10.12.1: icmp_seq=37 ttl=63 time=0.179 ms
64 bytes from 10.10.12.1: icmp_seq=38 ttl=63 time=0.194 ms
64 bytes from 10.10.12.1: icmp_seq=39 ttl=63 time=0.210 ms
64 bytes from 10.10.12.1: icmp_seq=40 ttl=63 time=0.040 ms
64 bytes from 10.10.12.1: icmp_seq=41 ttl=63 time=0.303 ms
64 bytes from 10.10.12.1: icmp_seq=42 ttl=63 time=0.199 ms
64 bytes from 10.10.12.1: icmp_seq=43 ttl=63 time=0.067 ms
64 bytes from 10.10.12.1: icmp_seq=44 ttl=63 time=0.060 ms
64 bytes from 10.10.12.1: icmp_seq=45 ttl=63 time=0.282 ms
64 bytes from 10.10.12.1: icmp_seq=46 ttl=63 time=0.214 ms
64 bytes from 10.10.12.1: icmp_seq=47 ttl=63 time=0.058 ms
64 bytes from 10.10.12.1: icmp_seq=48 ttl=63 time=0.165 ms
64 bytes from 10.10.12.1: icmp_seq=49 ttl=63 time=0.259 ms
64 bytes from 10.10.12.1: icmp_seq=50 ttl=63 time=0.167 ms

--- 10.10.12.1 ping statistics ---
50 packets transmitted, 44 received, 12% packet loss, time 49437ms
rtt min/avg/max/mdev = 0.033/1418.253/10094.792/3004.360 ms, pipe 11
