PING 10.10.10.1 (10.10.10.1) 56(84) bytes of data.
64 bytes from 10.10.10.1: icmp_seq=1 ttl=63 time=11568 ms
64 bytes from 10.10.10.1: icmp_seq=7 ttl=63 time=5998 ms
64 bytes from 10.10.10.1: icmp_seq=4 ttl=63 time=10217 ms
64 bytes from 10.10.10.1: icmp_seq=15 ttl=63 time=0.180 ms
64 bytes from 10.10.10.1: icmp_seq=2 ttl=63 time=13370 ms
64 bytes from 10.10.10.1: icmp_seq=16 ttl=63 time=0.289 ms
64 bytes from 10.10.10.1: icmp_seq=5 ttl=63 time=11477 ms
64 bytes from 10.10.10.1: icmp_seq=17 ttl=63 time=0.038 ms
64 bytes from 10.10.10.1: icmp_seq=18 ttl=63 time=0.043 ms
64 bytes from 10.10.10.1: icmp_seq=6 ttl=63 time=12274 ms
64 bytes from 10.10.10.1: icmp_seq=3 ttl=63 time=15629 ms
64 bytes from 10.10.10.1: icmp_seq=19 ttl=63 time=0.083 ms
64 bytes from 10.10.10.1: icmp_seq=20 ttl=63 time=0.041 ms
64 bytes from 10.10.10.1: icmp_seq=21 ttl=63 time=0.090 ms
64 bytes from 10.10.10.1: icmp_seq=22 ttl=63 time=0.080 ms
64 bytes from 10.10.10.1: icmp_seq=23 ttl=63 time=0.511 ms
64 bytes from 10.10.10.1: icmp_seq=24 ttl=63 time=0.052 ms
64 bytes from 10.10.10.1: icmp_seq=25 ttl=63 time=0.033 ms
64 bytes from 10.10.10.1: icmp_seq=26 ttl=63 time=0.599 ms
64 bytes from 10.10.10.1: icmp_seq=27 ttl=63 time=0.107 ms
64 bytes from 10.10.10.1: icmp_seq=28 ttl=63 time=0.033 ms
64 bytes from 10.10.10.1: icmp_seq=29 ttl=63 time=0.171 ms
64 bytes from 10.10.10.1: icmp_seq=30 ttl=63 time=0.042 ms
64 bytes from 10.10.10.1: icmp_seq=31 ttl=63 time=0.108 ms
64 bytes from 10.10.10.1: icmp_seq=32 ttl=63 time=0.235 ms
64 bytes from 10.10.10.1: icmp_seq=33 ttl=63 time=0.278 ms
64 bytes from 10.10.10.1: icmp_seq=34 ttl=63 time=0.041 ms
64 bytes from 10.10.10.1: icmp_seq=35 ttl=63 time=0.065 ms
64 bytes from 10.10.10.1: icmp_seq=36 ttl=63 time=0.158 ms
64 bytes from 10.10.10.1: icmp_seq=37 ttl=63 time=0.279 ms
64 bytes from 10.10.10.1: icmp_seq=38 ttl=63 time=0.145 ms
64 bytes from 10.10.10.1: icmp_seq=39 ttl=63 time=0.054 ms
64 bytes from 10.10.10.1: icmp_seq=40 ttl=63 time=0.075 ms
64 bytes from 10.10.10.1: icmp_seq=41 ttl=63 time=0.211 ms
64 bytes from 10.10.10.1: icmp_seq=42 ttl=63 time=0.565 ms
64 bytes from 10.10.10.1: icmp_seq=43 ttl=63 time=0.047 ms
64 bytes from 10.10.10.1: icmp_seq=44 ttl=63 time=0.168 ms
64 bytes from 10.10.10.1: icmp_seq=45 ttl=63 time=0.175 ms
64 bytes from 10.10.10.1: icmp_seq=46 ttl=63 time=0.052 ms
64 bytes from 10.10.10.1: icmp_seq=47 ttl=63 time=0.202 ms
64 bytes from 10.10.10.1: icmp_seq=48 ttl=63 time=0.098 ms
64 bytes from 10.10.10.1: icmp_seq=49 ttl=63 time=0.040 ms
64 bytes from 10.10.10.1: icmp_seq=50 ttl=63 time=0.041 ms

--- 10.10.10.1 ping statistics ---
50 packets transmitted, 43 received, 14% packet loss, time 49574ms
rtt min/avg/max/mdev = 0.033/1873.045/15629.179/4390.203 ms, pipe 16
