PING 10.10.2.1 (10.10.2.1) 56(84) bytes of data.
64 bytes from 10.10.2.1: icmp_seq=1 ttl=63 time=12286 ms
64 bytes from 10.10.2.1: icmp_seq=6 ttl=63 time=7413 ms
64 bytes from 10.10.2.1: icmp_seq=3 ttl=63 time=11675 ms
64 bytes from 10.10.2.1: icmp_seq=7 ttl=63 time=8151 ms
64 bytes from 10.10.2.1: icmp_seq=2 ttl=63 time=14155 ms
64 bytes from 10.10.2.1: icmp_seq=4 ttl=63 time=12707 ms
64 bytes from 10.10.2.1: icmp_seq=15 ttl=63 time=1974 ms
64 bytes from 10.10.2.1: icmp_seq=16 ttl=63 time=974 ms
64 bytes from 10.10.2.1: icmp_seq=17 ttl=63 time=0.069 ms
64 bytes from 10.10.2.1: icmp_seq=18 ttl=63 time=0.054 ms
64 bytes from 10.10.2.1: icmp_seq=19 ttl=63 time=0.217 ms
64 bytes from 10.10.2.1: icmp_seq=5 ttl=63 time=14131 ms
64 bytes from 10.10.2.1: icmp_seq=20 ttl=63 time=0.339 ms
64 bytes from 10.10.2.1: icmp_seq=21 ttl=63 time=0.108 ms
64 bytes from 10.10.2.1: icmp_seq=22 ttl=63 time=0.068 ms
64 bytes from 10.10.2.1: icmp_seq=23 ttl=63 time=0.604 ms
64 bytes from 10.10.2.1: icmp_seq=24 ttl=63 time=0.034 ms
64 bytes from 10.10.2.1: icmp_seq=25 ttl=63 time=0.033 ms
64 bytes from 10.10.2.1: icmp_seq=26 ttl=63 time=0.626 ms
64 bytes from 10.10.2.1: icmp_seq=27 ttl=63 time=0.111 ms
64 bytes from 10.10.2.1: icmp_seq=28 ttl=63 time=0.035 ms
64 bytes from 10.10.2.1: icmp_seq=29 ttl=63 time=0.159 ms
64 bytes from 10.10.2.1: icmp_seq=30 ttl=63 time=0.139 ms
64 bytes from 10.10.2.1: icmp_seq=31 ttl=63 time=0.045 ms
64 bytes from 10.10.2.1: icmp_seq=32 ttl=63 time=0.369 ms
64 bytes from 10.10.2.1: icmp_seq=33 ttl=63 time=0.398 ms
64 bytes from 10.10.2.1: icmp_seq=34 ttl=63 time=0.156 ms
64 bytes from 10.10.2.1: icmp_seq=35 ttl=63 time=0.166 ms
64 bytes from 10.10.2.1: icmp_seq=36 ttl=63 time=0.171 ms
64 bytes from 10.10.2.1: icmp_seq=37 ttl=63 time=0.290 ms
64 bytes from 10.10.2.1: icmp_seq=38 ttl=63 time=0.136 ms
64 bytes from 10.10.2.1: icmp_seq=39 ttl=63 time=0.319 ms
64 bytes from 10.10.2.1: icmp_seq=40 ttl=63 time=0.146 ms
64 bytes from 10.10.2.1: icmp_seq=41 ttl=63 time=0.642 ms
64 bytes from 10.10.2.1: icmp_seq=42 ttl=63 time=0.063 ms
64 bytes from 10.10.2.1: icmp_seq=43 ttl=63 time=0.050 ms
64 bytes from 10.10.2.1: icmp_seq=44 ttl=63 time=0.042 ms
64 bytes from 10.10.2.1: icmp_seq=45 ttl=63 time=0.125 ms
64 bytes from 10.10.2.1: icmp_seq=46 ttl=63 time=0.039 ms
64 bytes from 10.10.2.1: icmp_seq=47 ttl=63 time=0.325 ms
64 bytes from 10.10.2.1: icmp_seq=48 ttl=63 time=0.047 ms
64 bytes from 10.10.2.1: icmp_seq=49 ttl=63 time=0.132 ms
64 bytes from 10.10.2.1: icmp_seq=50 ttl=63 time=0.178 ms

--- 10.10.2.1 ping statistics ---
50 packets transmitted, 43 received, 14% packet loss, time 49496ms
rtt min/avg/max/mdev = 0.033/1941.339/14155.125/4348.362 ms, pipe 15
