PING 10.10.3.1 (10.10.3.1) 56(84) bytes of data.
64 bytes from 10.10.3.1: icmp_seq=1 ttl=63 time=16234 ms
64 bytes from 10.10.3.1: icmp_seq=8 ttl=63 time=10199 ms
64 bytes from 10.10.3.1: icmp_seq=5 ttl=63 time=13457 ms
64 bytes from 10.10.3.1: icmp_seq=4 ttl=63 time=14600 ms
64 bytes from 10.10.3.1: icmp_seq=2 ttl=63 time=16704 ms
64 bytes from 10.10.3.1: icmp_seq=18 ttl=63 time=826 ms
64 bytes from 10.10.3.1: icmp_seq=19 ttl=63 time=0.140 ms
64 bytes from 10.10.3.1: icmp_seq=6 ttl=63 time=13864 ms
64 bytes from 10.10.3.1: icmp_seq=20 ttl=63 time=0.072 ms
64 bytes from 10.10.3.1: icmp_seq=3 ttl=63 time=17382 ms
64 bytes from 10.10.3.1: icmp_seq=7 ttl=63 time=13703 ms
64 bytes from 10.10.3.1: icmp_seq=21 ttl=63 time=0.050 ms
64 bytes from 10.10.3.1: icmp_seq=22 ttl=63 time=0.043 ms
64 bytes from 10.10.3.1: icmp_seq=23 ttl=63 time=0.366 ms
64 bytes from 10.10.3.1: icmp_seq=24 ttl=63 time=0.165 ms
64 bytes from 10.10.3.1: icmp_seq=25 ttl=63 time=0.160 ms
64 bytes from 10.10.3.1: icmp_seq=26 ttl=63 time=0.037 ms
64 bytes from 10.10.3.1: icmp_seq=27 ttl=63 time=0.032 ms
64 bytes from 10.10.3.1: icmp_seq=28 ttl=63 time=0.041 ms
64 bytes from 10.10.3.1: icmp_seq=29 ttl=63 time=0.043 ms
64 bytes from 10.10.3.1: icmp_seq=30 ttl=63 time=0.076 ms
64 bytes from 10.10.3.1: icmp_seq=31 ttl=63 time=0.050 ms
64 bytes from 10.10.3.1: icmp_seq=32 ttl=63 time=0.068 ms
64 bytes from 10.10.3.1: icmp_seq=33 ttl=63 time=0.078 ms
64 bytes from 10.10.3.1: icmp_seq=34 ttl=63 time=0.045 ms
64 bytes from 10.10.3.1: icmp_seq=35 ttl=63 time=0.143 ms
64 bytes from 10.10.3.1: icmp_seq=36 ttl=63 time=0.044 ms
64 bytes from 10.10.3.1: icmp_seq=37 ttl=63 time=0.095 ms
64 bytes from 10.10.3.1: icmp_seq=38 ttl=63 time=0.041 ms
64 bytes from 10.10.3.1: icmp_seq=39 ttl=63 time=0.069 ms
64 bytes from 10.10.3.1: icmp_seq=40 ttl=63 time=0.047 ms
64 bytes from 10.10.3.1: icmp_seq=41 ttl=63 time=0.089 ms
64 bytes from 10.10.3.1: icmp_seq=42 ttl=63 time=0.031 ms
64 bytes from 10.10.3.1: icmp_seq=43 ttl=63 time=0.056 ms
64 bytes from 10.10.3.1: icmp_seq=44 ttl=63 time=0.050 ms
64 bytes from 10.10.3.1: icmp_seq=45 ttl=63 time=0.167 ms
64 bytes from 10.10.3.1: icmp_seq=46 ttl=63 time=0.033 ms
64 bytes from 10.10.3.1: icmp_seq=47 ttl=63 time=0.160 ms
64 bytes from 10.10.3.1: icmp_seq=48 ttl=63 time=0.060 ms
64 bytes from 10.10.3.1: icmp_seq=49 ttl=63 time=0.159 ms
64 bytes from 10.10.3.1: icmp_seq=50 ttl=63 time=0.165 ms

--- 10.10.3.1 ping statistics ---
50 packets transmitted, 41 received, 18% packet loss, time 49791ms
rtt min/avg/max/mdev = 0.031/2853.104/17382.682/5822.656 ms, pipe 18
