PING 10.10.9.1 (10.10.9.1) 56(84) bytes of data.
64 bytes from 10.10.9.1: icmp_seq=1 ttl=63 time=2248 ms
64 bytes from 10.10.9.1: icmp_seq=2 ttl=63 time=1264 ms
64 bytes from 10.10.9.1: icmp_seq=3 ttl=63 time=341 ms
64 bytes from 10.10.9.1: icmp_seq=4 ttl=63 time=0.027 ms
64 bytes from 10.10.9.1: icmp_seq=5 ttl=63 time=0.049 ms
64 bytes from 10.10.9.1: icmp_seq=6 ttl=63 time=0.141 ms
64 bytes from 10.10.9.1: icmp_seq=7 ttl=63 time=0.041 ms
64 bytes from 10.10.9.1: icmp_seq=8 ttl=63 time=0.131 ms
64 bytes from 10.10.9.1: icmp_seq=9 ttl=63 time=0.100 ms
64 bytes from 10.10.9.1: icmp_seq=10 ttl=63 time=0.038 ms
64 bytes from 10.10.9.1: icmp_seq=11 ttl=63 time=0.075 ms
64 bytes from 10.10.9.1: icmp_seq=12 ttl=63 time=0.049 ms
64 bytes from 10.10.9.1: icmp_seq=13 ttl=63 time=0.148 ms
64 bytes from 10.10.9.1: icmp_seq=14 ttl=63 time=0.104 ms
64 bytes from 10.10.9.1: icmp_seq=15 ttl=63 time=0.109 ms
64 bytes from 10.10.9.1: icmp_seq=16 ttl=63 time=0.102 ms
64 bytes from 10.10.9.1: icmp_seq=17 ttl=63 time=0.097 ms
64 bytes from 10.10.9.1: icmp_seq=18 ttl=63 time=0.135 ms
64 bytes from 10.10.9.1: icmp_seq=19 ttl=63 time=0.111 ms
64 bytes from 10.10.9.1: icmp_seq=20 ttl=63 time=0.122 ms
64 bytes from 10.10.9.1: icmp_seq=21 ttl=63 time=0.216 ms
64 bytes from 10.10.9.1: icmp_seq=22 ttl=63 time=0.057 ms
64 bytes from 10.10.9.1: icmp_seq=23 ttl=63 time=0.092 ms
64 bytes from 10.10.9.1: icmp_seq=24 ttl=63 time=0.189 ms
64 bytes from 10.10.9.1: icmp_seq=25 ttl=63 time=0.108 ms
64 bytes from 10.10.9.1: icmp_seq=26 ttl=63 time=0.052 ms
64 bytes from 10.10.9.1: icmp_seq=27 ttl=63 time=0.144 ms
64 bytes from 10.10.9.1: icmp_seq=28 ttl=63 time=0.153 ms
64 bytes from 10.10.9.1: icmp_seq=29 ttl=63 time=0.044 ms
64 bytes from 10.10.9.1: icmp_seq=30 ttl=63 time=0.045 ms
64 bytes from 10.10.9.1: icmp_seq=31 ttl=63 time=0.080 ms
64 bytes from 10.10.9.1: icmp_seq=32 ttl=63 time=0.072 ms
64 bytes from 10.10.9.1: icmp_seq=33 ttl=63 time=0.020 ms
64 bytes from 10.10.9.1: icmp_seq=34 ttl=63 time=0.023 ms
64 bytes from 10.10.9.1: icmp_seq=35 ttl=63 time=0.031 ms
64 bytes from 10.10.9.1: icmp_seq=36 ttl=63 time=0.193 ms
64 bytes from 10.10.9.1: icmp_seq=37 ttl=63 time=0.055 ms
64 bytes from 10.10.9.1: icmp_seq=38 ttl=63 time=0.049 ms
64 bytes from 10.10.9.1: icmp_seq=39 ttl=63 time=0.026 ms
64 bytes from 10.10.9.1: icmp_seq=40 ttl=63 time=0.094 ms
64 bytes from 10.10.9.1: icmp_seq=41 ttl=63 time=0.032 ms
64 bytes from 10.10.9.1: icmp_seq=42 ttl=63 time=0.069 ms
64 bytes from 10.10.9.1: icmp_seq=43 ttl=63 time=0.062 ms
64 bytes from 10.10.9.1: icmp_seq=44 ttl=63 time=0.046 ms
64 bytes from 10.10.9.1: icmp_seq=45 ttl=63 time=0.063 ms
64 bytes from 10.10.9.1: icmp_seq=46 ttl=63 time=0.080 ms
64 bytes from 10.10.9.1: icmp_seq=47 ttl=63 time=0.191 ms
64 bytes from 10.10.9.1: icmp_seq=48 ttl=63 time=0.122 ms
64 bytes from 10.10.9.1: icmp_seq=49 ttl=63 time=0.057 ms
64 bytes from 10.10.9.1: icmp_seq=50 ttl=63 time=0.081 ms

--- 10.10.9.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49719ms
rtt min/avg/max/mdev = 0.020/77.183/2248.730/359.873 ms, pipe 3
