PING 10.10.4.1 (10.10.4.1) 56(84) bytes of data.
64 bytes from 10.10.4.1: icmp_seq=1 ttl=63 time=1839 ms
64 bytes from 10.10.4.1: icmp_seq=3 ttl=63 time=0.483 ms
64 bytes from 10.10.4.1: icmp_seq=2 ttl=63 time=1322 ms
64 bytes from 10.10.4.1: icmp_seq=4 ttl=63 time=0.083 ms
64 bytes from 10.10.4.1: icmp_seq=5 ttl=63 time=0.317 ms
64 bytes from 10.10.4.1: icmp_seq=6 ttl=63 time=0.089 ms
64 bytes from 10.10.4.1: icmp_seq=7 ttl=63 time=0.158 ms
64 bytes from 10.10.4.1: icmp_seq=8 ttl=63 time=0.056 ms
64 bytes from 10.10.4.1: icmp_seq=9 ttl=63 time=0.041 ms
64 bytes from 10.10.4.1: icmp_seq=10 ttl=63 time=0.110 ms
64 bytes from 10.10.4.1: icmp_seq=11 ttl=63 time=0.074 ms
64 bytes from 10.10.4.1: icmp_seq=12 ttl=63 time=0.058 ms
64 bytes from 10.10.4.1: icmp_seq=13 ttl=63 time=0.072 ms
64 bytes from 10.10.4.1: icmp_seq=14 ttl=63 time=0.083 ms
64 bytes from 10.10.4.1: icmp_seq=15 ttl=63 time=0.085 ms
64 bytes from 10.10.4.1: icmp_seq=16 ttl=63 time=0.031 ms
64 bytes from 10.10.4.1: icmp_seq=17 ttl=63 time=0.058 ms
64 bytes from 10.10.4.1: icmp_seq=18 ttl=63 time=0.137 ms
64 bytes from 10.10.4.1: icmp_seq=19 ttl=63 time=0.129 ms
64 bytes from 10.10.4.1: icmp_seq=20 ttl=63 time=0.097 ms
64 bytes from 10.10.4.1: icmp_seq=21 ttl=63 time=0.192 ms
64 bytes from 10.10.4.1: icmp_seq=22 ttl=63 time=0.078 ms
64 bytes from 10.10.4.1: icmp_seq=23 ttl=63 time=0.275 ms
64 bytes from 10.10.4.1: icmp_seq=24 ttl=63 time=0.088 ms
64 bytes from 10.10.4.1: icmp_seq=25 ttl=63 time=0.081 ms
64 bytes from 10.10.4.1: icmp_seq=26 ttl=63 time=0.049 ms
64 bytes from 10.10.4.1: icmp_seq=27 ttl=63 time=0.198 ms
64 bytes from 10.10.4.1: icmp_seq=28 ttl=63 time=0.145 ms
64 bytes from 10.10.4.1: icmp_seq=29 ttl=63 time=0.062 ms
64 bytes from 10.10.4.1: icmp_seq=30 ttl=63 time=0.061 ms
64 bytes from 10.10.4.1: icmp_seq=31 ttl=63 time=0.085 ms
64 bytes from 10.10.4.1: icmp_seq=32 ttl=63 time=0.103 ms
64 bytes from 10.10.4.1: icmp_seq=33 ttl=63 time=0.035 ms
64 bytes from 10.10.4.1: icmp_seq=34 ttl=63 time=0.085 ms
64 bytes from 10.10.4.1: icmp_seq=35 ttl=63 time=0.074 ms
64 bytes from 10.10.4.1: icmp_seq=36 ttl=63 time=0.315 ms
64 bytes from 10.10.4.1: icmp_seq=37 ttl=63 time=0.091 ms
64 bytes from 10.10.4.1: icmp_seq=38 ttl=63 time=0.106 ms
64 bytes from 10.10.4.1: icmp_seq=39 ttl=63 time=0.072 ms
64 bytes from 10.10.4.1: icmp_seq=40 ttl=63 time=0.069 ms
64 bytes from 10.10.4.1: icmp_seq=41 ttl=63 time=0.163 ms
64 bytes from 10.10.4.1: icmp_seq=42 ttl=63 time=0.074 ms
64 bytes from 10.10.4.1: icmp_seq=43 ttl=63 time=0.130 ms
64 bytes from 10.10.4.1: icmp_seq=44 ttl=63 time=0.077 ms
64 bytes from 10.10.4.1: icmp_seq=45 ttl=63 time=0.048 ms
64 bytes from 10.10.4.1: icmp_seq=46 ttl=63 time=0.119 ms
64 bytes from 10.10.4.1: icmp_seq=47 ttl=63 time=0.094 ms
64 bytes from 10.10.4.1: icmp_seq=48 ttl=63 time=0.172 ms
64 bytes from 10.10.4.1: icmp_seq=49 ttl=63 time=0.110 ms
64 bytes from 10.10.4.1: icmp_seq=50 ttl=63 time=0.089 ms

--- 10.10.4.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49809ms
rtt min/avg/max/mdev = 0.031/63.333/1839.049/313.990 ms, pipe 2
