PING 10.10.0.1 (10.10.0.1) 56(84) bytes of data.
64 bytes from 10.10.0.1: icmp_seq=1 ttl=63 time=1941 ms
64 bytes from 10.10.0.1: icmp_seq=3 ttl=63 time=0.355 ms
64 bytes from 10.10.0.1: icmp_seq=2 ttl=63 time=1143 ms
64 bytes from 10.10.0.1: icmp_seq=4 ttl=63 time=0.114 ms
64 bytes from 10.10.0.1: icmp_seq=5 ttl=63 time=0.045 ms
64 bytes from 10.10.0.1: icmp_seq=6 ttl=63 time=0.819 ms
64 bytes from 10.10.0.1: icmp_seq=7 ttl=63 time=0.136 ms
64 bytes from 10.10.0.1: icmp_seq=8 ttl=63 time=0.099 ms
64 bytes from 10.10.0.1: icmp_seq=9 ttl=63 time=0.054 ms
64 bytes from 10.10.0.1: icmp_seq=10 ttl=63 time=0.026 ms
64 bytes from 10.10.0.1: icmp_seq=11 ttl=63 time=0.070 ms
64 bytes from 10.10.0.1: icmp_seq=12 ttl=63 time=0.070 ms
64 bytes from 10.10.0.1: icmp_seq=13 ttl=63 time=0.097 ms
64 bytes from 10.10.0.1: icmp_seq=14 ttl=63 time=0.194 ms
64 bytes from 10.10.0.1: icmp_seq=15 ttl=63 time=0.071 ms
64 bytes from 10.10.0.1: icmp_seq=16 ttl=63 time=0.129 ms
64 bytes from 10.10.0.1: icmp_seq=17 ttl=63 time=0.086 ms
64 bytes from 10.10.0.1: icmp_seq=18 ttl=63 time=0.073 ms
64 bytes from 10.10.0.1: icmp_seq=19 ttl=63 time=0.074 ms
64 bytes from 10.10.0.1: icmp_seq=20 ttl=63 time=0.173 ms
64 bytes from 10.10.0.1: icmp_seq=21 ttl=63 time=0.137 ms
64 bytes from 10.10.0.1: icmp_seq=22 ttl=63 time=0.125 ms
64 bytes from 10.10.0.1: icmp_seq=23 ttl=63 time=0.120 ms
64 bytes from 10.10.0.1: icmp_seq=24 ttl=63 time=0.266 ms
64 bytes from 10.10.0.1: icmp_seq=25 ttl=63 time=0.196 ms
64 bytes from 10.10.0.1: icmp_seq=26 ttl=63 time=0.094 ms
64 bytes from 10.10.0.1: icmp_seq=27 ttl=63 time=0.105 ms
64 bytes from 10.10.0.1: icmp_seq=28 ttl=63 time=0.070 ms
64 bytes from 10.10.0.1: icmp_seq=29 ttl=63 time=0.034 ms
64 bytes from 10.10.0.1: icmp_seq=30 ttl=63 time=0.176 ms
64 bytes from 10.10.0.1: icmp_seq=31 ttl=63 time=0.028 ms
64 bytes from 10.10.0.1: icmp_seq=32 ttl=63 time=0.028 ms
64 bytes from 10.10.0.1: icmp_seq=33 ttl=63 time=0.027 ms
64 bytes from 10.10.0.1: icmp_seq=34 ttl=63 time=0.031 ms
64 bytes from 10.10.0.1: icmp_seq=35 ttl=63 time=0.034 ms
64 bytes from 10.10.0.1: icmp_seq=36 ttl=63 time=0.259 ms
64 bytes from 10.10.0.1: icmp_seq=37 ttl=63 time=0.064 ms
64 bytes from 10.10.0.1: icmp_seq=38 ttl=63 time=0.035 ms
64 bytes from 10.10.0.1: icmp_seq=39 ttl=63 time=0.040 ms
64 bytes from 10.10.0.1: icmp_seq=40 ttl=63 time=0.030 ms
64 bytes from 10.10.0.1: icmp_seq=41 ttl=63 time=0.073 ms
64 bytes from 10.10.0.1: icmp_seq=42 ttl=63 time=0.092 ms
64 bytes from 10.10.0.1: icmp_seq=43 ttl=63 time=0.134 ms
64 bytes from 10.10.0.1: icmp_seq=44 ttl=63 time=0.067 ms
64 bytes from 10.10.0.1: icmp_seq=45 ttl=63 time=0.072 ms
64 bytes from 10.10.0.1: icmp_seq=46 ttl=63 time=0.350 ms
64 bytes from 10.10.0.1: icmp_seq=47 ttl=63 time=0.184 ms
64 bytes from 10.10.0.1: icmp_seq=48 ttl=63 time=0.050 ms
64 bytes from 10.10.0.1: icmp_seq=49 ttl=63 time=0.050 ms
64 bytes from 10.10.0.1: icmp_seq=50 ttl=63 time=0.039 ms

--- 10.10.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49920ms
rtt min/avg/max/mdev = 0.026/61.825/1941.643/312.649 ms, pipe 2
