PING 10.10.152.1 (10.10.152.1) 56(84) bytes of data.
64 bytes from 10.10.152.1: icmp_seq=1 ttl=64 time=0.045 ms
64 bytes from 10.10.152.1: icmp_seq=2 ttl=64 time=0.063 ms
64 bytes from 10.10.152.1: icmp_seq=3 ttl=64 time=0.100 ms
64 bytes from 10.10.152.1: icmp_seq=4 ttl=64 time=0.048 ms
64 bytes from 10.10.152.1: icmp_seq=5 ttl=64 time=0.222 ms
64 bytes from 10.10.152.1: icmp_seq=6 ttl=64 time=0.037 ms
64 bytes from 10.10.152.1: icmp_seq=7 ttl=64 time=0.209 ms
64 bytes from 10.10.152.1: icmp_seq=8 ttl=64 time=0.018 ms
64 bytes from 10.10.152.1: icmp_seq=9 ttl=64 time=1.22 ms
64 bytes from 10.10.152.1: icmp_seq=10 ttl=64 time=0.036 ms
64 bytes from 10.10.152.1: icmp_seq=11 ttl=64 time=0.340 ms
64 bytes from 10.10.152.1: icmp_seq=12 ttl=64 time=0.027 ms
64 bytes from 10.10.152.1: icmp_seq=13 ttl=64 time=0.106 ms
64 bytes from 10.10.152.1: icmp_seq=14 ttl=64 time=0.059 ms
64 bytes from 10.10.152.1: icmp_seq=15 ttl=64 time=0.605 ms
64 bytes from 10.10.152.1: icmp_seq=16 ttl=64 time=0.014 ms
64 bytes from 10.10.152.1: icmp_seq=17 ttl=64 time=0.306 ms
64 bytes from 10.10.152.1: icmp_seq=18 ttl=64 time=0.044 ms
64 bytes from 10.10.152.1: icmp_seq=19 ttl=64 time=0.093 ms
64 bytes from 10.10.152.1: icmp_seq=20 ttl=64 time=0.021 ms
64 bytes from 10.10.152.1: icmp_seq=21 ttl=64 time=0.016 ms
64 bytes from 10.10.152.1: icmp_seq=22 ttl=64 time=0.017 ms
64 bytes from 10.10.152.1: icmp_seq=23 ttl=64 time=0.015 ms
64 bytes from 10.10.152.1: icmp_seq=24 ttl=64 time=0.035 ms
64 bytes from 10.10.152.1: icmp_seq=25 ttl=64 time=0.016 ms
64 bytes from 10.10.152.1: icmp_seq=26 ttl=64 time=0.027 ms
64 bytes from 10.10.152.1: icmp_seq=27 ttl=64 time=0.031 ms
64 bytes from 10.10.152.1: icmp_seq=28 ttl=64 time=0.045 ms
64 bytes from 10.10.152.1: icmp_seq=29 ttl=64 time=0.044 ms
64 bytes from 10.10.152.1: icmp_seq=30 ttl=64 time=0.024 ms
64 bytes from 10.10.152.1: icmp_seq=31 ttl=64 time=0.019 ms
64 bytes from 10.10.152.1: icmp_seq=32 ttl=64 time=0.017 ms
64 bytes from 10.10.152.1: icmp_seq=33 ttl=64 time=0.021 ms
64 bytes from 10.10.152.1: icmp_seq=34 ttl=64 time=0.037 ms
64 bytes from 10.10.152.1: icmp_seq=35 ttl=64 time=0.091 ms
64 bytes from 10.10.152.1: icmp_seq=36 ttl=64 time=0.023 ms
64 bytes from 10.10.152.1: icmp_seq=37 ttl=64 time=0.137 ms
64 bytes from 10.10.152.1: icmp_seq=38 ttl=64 time=0.018 ms
64 bytes from 10.10.152.1: icmp_seq=39 ttl=64 time=0.149 ms
64 bytes from 10.10.152.1: icmp_seq=40 ttl=64 time=0.084 ms
64 bytes from 10.10.152.1: icmp_seq=41 ttl=64 time=0.090 ms
64 bytes from 10.10.152.1: icmp_seq=42 ttl=64 time=0.096 ms
64 bytes from 10.10.152.1: icmp_seq=43 ttl=64 time=0.079 ms
64 bytes from 10.10.152.1: icmp_seq=44 ttl=64 time=0.076 ms
64 bytes from 10.10.152.1: icmp_seq=45 ttl=64 time=0.132 ms
64 bytes from 10.10.152.1: icmp_seq=46 ttl=64 time=0.096 ms
64 bytes from 10.10.152.1: icmp_seq=47 ttl=64 time=0.103 ms
64 bytes from 10.10.152.1: icmp_seq=48 ttl=64 time=0.022 ms
64 bytes from 10.10.152.1: icmp_seq=49 ttl=64 time=0.074 ms
64 bytes from 10.10.152.1: icmp_seq=50 ttl=64 time=0.019 ms

--- 10.10.152.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49904ms
rtt min/avg/max/mdev = 0.014/0.105/1.227/0.190 ms
