PING 10.10.3.1 (10.10.3.1) 56(84) bytes of data.
64 bytes from 10.10.3.1: icmp_seq=1 ttl=63 time=11280 ms
64 bytes from 10.10.3.1: icmp_seq=7 ttl=63 time=7188 ms
64 bytes from 10.10.3.1: icmp_seq=4 ttl=63 time=10580 ms
64 bytes from 10.10.3.1: icmp_seq=8 ttl=63 time=7548 ms
64 bytes from 10.10.3.1: icmp_seq=9 ttl=63 time=7430 ms
64 bytes from 10.10.3.1: icmp_seq=5 ttl=63 time=11771 ms
64 bytes from 10.10.3.1: icmp_seq=16 ttl=63 time=829 ms
64 bytes from 10.10.3.1: icmp_seq=17 ttl=63 time=0.095 ms
64 bytes from 10.10.3.1: icmp_seq=18 ttl=63 time=0.149 ms
64 bytes from 10.10.3.1: icmp_seq=19 ttl=63 time=0.120 ms
64 bytes from 10.10.3.1: icmp_seq=20 ttl=63 time=0.033 ms
64 bytes from 10.10.3.1: icmp_seq=21 ttl=63 time=0.037 ms
64 bytes from 10.10.3.1: icmp_seq=22 ttl=63 time=0.040 ms
64 bytes from 10.10.3.1: icmp_seq=23 ttl=63 time=0.036 ms
64 bytes from 10.10.3.1: icmp_seq=24 ttl=63 time=0.109 ms
64 bytes from 10.10.3.1: icmp_seq=25 ttl=63 time=0.112 ms
64 bytes from 10.10.3.1: icmp_seq=26 ttl=63 time=0.050 ms
64 bytes from 10.10.3.1: icmp_seq=27 ttl=63 time=0.117 ms
64 bytes from 10.10.3.1: icmp_seq=28 ttl=63 time=0.044 ms
64 bytes from 10.10.3.1: icmp_seq=29 ttl=63 time=0.528 ms
64 bytes from 10.10.3.1: icmp_seq=30 ttl=63 time=0.045 ms
64 bytes from 10.10.3.1: icmp_seq=31 ttl=63 time=0.158 ms
64 bytes from 10.10.3.1: icmp_seq=32 ttl=63 time=0.171 ms
64 bytes from 10.10.3.1: icmp_seq=33 ttl=63 time=0.213 ms
64 bytes from 10.10.3.1: icmp_seq=34 ttl=63 time=0.031 ms
64 bytes from 10.10.3.1: icmp_seq=35 ttl=63 time=0.029 ms
64 bytes from 10.10.3.1: icmp_seq=36 ttl=63 time=0.056 ms
64 bytes from 10.10.3.1: icmp_seq=37 ttl=63 time=0.201 ms
64 bytes from 10.10.3.1: icmp_seq=38 ttl=63 time=0.342 ms
64 bytes from 10.10.3.1: icmp_seq=39 ttl=63 time=0.060 ms
64 bytes from 10.10.3.1: icmp_seq=40 ttl=63 time=0.042 ms
64 bytes from 10.10.3.1: icmp_seq=41 ttl=63 time=0.037 ms
64 bytes from 10.10.3.1: icmp_seq=42 ttl=63 time=0.095 ms
64 bytes from 10.10.3.1: icmp_seq=43 ttl=63 time=0.100 ms
64 bytes from 10.10.3.1: icmp_seq=44 ttl=63 time=0.123 ms
64 bytes from 10.10.3.1: icmp_seq=45 ttl=63 time=0.033 ms
64 bytes from 10.10.3.1: icmp_seq=46 ttl=63 time=0.072 ms
64 bytes from 10.10.3.1: icmp_seq=47 ttl=63 time=0.042 ms
64 bytes from 10.10.3.1: icmp_seq=48 ttl=63 time=0.098 ms
64 bytes from 10.10.3.1: icmp_seq=49 ttl=63 time=0.189 ms
64 bytes from 10.10.3.1: icmp_seq=50 ttl=63 time=0.029 ms
