PING 10.10.11.1 (10.10.11.1) 56(84) bytes of data.
64 bytes from 10.10.11.1: icmp_seq=1 ttl=63 time=6923 ms
64 bytes from 10.10.11.1: icmp_seq=8 ttl=63 time=0.196 ms
64 bytes from 10.10.11.1: icmp_seq=9 ttl=63 time=0.196 ms
64 bytes from 10.10.11.1: icmp_seq=5 ttl=63 time=4544 ms
64 bytes from 10.10.11.1: icmp_seq=3 ttl=63 time=8147 ms
64 bytes from 10.10.11.1: icmp_seq=6 ttl=63 time=6119 ms
64 bytes from 10.10.11.1: icmp_seq=2 ttl=63 time=10728 ms
64 bytes from 10.10.11.1: icmp_seq=7 ttl=63 time=6471 ms
64 bytes from 10.10.11.1: icmp_seq=4 ttl=63 time=10151 ms
64 bytes from 10.10.11.1: icmp_seq=13 ttl=63 time=2294 ms
64 bytes from 10.10.11.1: icmp_seq=14 ttl=63 time=1293 ms
64 bytes from 10.10.11.1: icmp_seq=15 ttl=63 time=291 ms
64 bytes from 10.10.11.1: icmp_seq=16 ttl=63 time=0.087 ms
64 bytes from 10.10.11.1: icmp_seq=17 ttl=63 time=0.256 ms
64 bytes from 10.10.11.1: icmp_seq=18 ttl=63 time=0.161 ms
64 bytes from 10.10.11.1: icmp_seq=19 ttl=63 time=0.273 ms
64 bytes from 10.10.11.1: icmp_seq=20 ttl=63 time=0.049 ms
64 bytes from 10.10.11.1: icmp_seq=21 ttl=63 time=0.210 ms
64 bytes from 10.10.11.1: icmp_seq=22 ttl=63 time=0.039 ms
64 bytes from 10.10.11.1: icmp_seq=23 ttl=63 time=0.052 ms
64 bytes from 10.10.11.1: icmp_seq=24 ttl=63 time=0.097 ms
64 bytes from 10.10.11.1: icmp_seq=25 ttl=63 time=0.031 ms
64 bytes from 10.10.11.1: icmp_seq=26 ttl=63 time=0.064 ms
64 bytes from 10.10.11.1: icmp_seq=27 ttl=63 time=0.211 ms
64 bytes from 10.10.11.1: icmp_seq=28 ttl=63 time=0.052 ms
64 bytes from 10.10.11.1: icmp_seq=29 ttl=63 time=0.049 ms
64 bytes from 10.10.11.1: icmp_seq=30 ttl=63 time=0.233 ms
64 bytes from 10.10.11.1: icmp_seq=31 ttl=63 time=0.085 ms
64 bytes from 10.10.11.1: icmp_seq=32 ttl=63 time=0.074 ms
64 bytes from 10.10.11.1: icmp_seq=33 ttl=63 time=0.112 ms
64 bytes from 10.10.11.1: icmp_seq=34 ttl=63 time=0.046 ms
64 bytes from 10.10.11.1: icmp_seq=35 ttl=63 time=0.102 ms
64 bytes from 10.10.11.1: icmp_seq=36 ttl=63 time=0.106 ms
64 bytes from 10.10.11.1: icmp_seq=37 ttl=63 time=0.042 ms
64 bytes from 10.10.11.1: icmp_seq=38 ttl=63 time=0.053 ms
64 bytes from 10.10.11.1: icmp_seq=39 ttl=63 time=0.054 ms
64 bytes from 10.10.11.1: icmp_seq=40 ttl=63 time=0.058 ms
64 bytes from 10.10.11.1: icmp_seq=41 ttl=63 time=0.087 ms
64 bytes from 10.10.11.1: icmp_seq=42 ttl=63 time=0.045 ms
64 bytes from 10.10.11.1: icmp_seq=43 ttl=63 time=0.040 ms
64 bytes from 10.10.11.1: icmp_seq=44 ttl=63 time=0.048 ms
64 bytes from 10.10.11.1: icmp_seq=45 ttl=63 time=0.057 ms
64 bytes from 10.10.11.1: icmp_seq=46 ttl=63 time=0.130 ms
64 bytes from 10.10.11.1: icmp_seq=47 ttl=63 time=0.098 ms
64 bytes from 10.10.11.1: icmp_seq=48 ttl=63 time=0.070 ms
64 bytes from 10.10.11.1: icmp_seq=49 ttl=63 time=0.070 ms
64 bytes from 10.10.11.1: icmp_seq=50 ttl=63 time=0.057 ms
