PING 10.10.1.1 (10.10.1.1) 56(84) bytes of data.
64 bytes from 10.10.1.1: icmp_seq=1 ttl=63 time=11058 ms
64 bytes from 10.10.1.1: icmp_seq=6 ttl=63 time=6061 ms
64 bytes from 10.10.1.1: icmp_seq=7 ttl=63 time=5927 ms
64 bytes from 10.10.1.1: icmp_seq=4 ttl=63 time=9765 ms
64 bytes from 10.10.1.1: icmp_seq=2 ttl=63 time=12131 ms
64 bytes from 10.10.1.1: icmp_seq=8 ttl=63 time=6632 ms
64 bytes from 10.10.1.1: icmp_seq=9 ttl=63 time=6836 ms
64 bytes from 10.10.1.1: icmp_seq=5 ttl=63 time=11031 ms
64 bytes from 10.10.1.1: icmp_seq=3 ttl=63 time=13399 ms
64 bytes from 10.10.1.1: icmp_seq=16 ttl=63 time=295 ms
64 bytes from 10.10.1.1: icmp_seq=17 ttl=63 time=0.165 ms
64 bytes from 10.10.1.1: icmp_seq=18 ttl=63 time=0.106 ms
64 bytes from 10.10.1.1: icmp_seq=19 ttl=63 time=0.072 ms
64 bytes from 10.10.1.1: icmp_seq=20 ttl=63 time=0.114 ms
64 bytes from 10.10.1.1: icmp_seq=21 ttl=63 time=0.276 ms
64 bytes from 10.10.1.1: icmp_seq=22 ttl=63 time=0.201 ms
64 bytes from 10.10.1.1: icmp_seq=23 ttl=63 time=0.102 ms
64 bytes from 10.10.1.1: icmp_seq=24 ttl=63 time=0.077 ms
64 bytes from 10.10.1.1: icmp_seq=25 ttl=63 time=0.078 ms
64 bytes from 10.10.1.1: icmp_seq=26 ttl=63 time=0.044 ms
64 bytes from 10.10.1.1: icmp_seq=27 ttl=63 time=0.090 ms
64 bytes from 10.10.1.1: icmp_seq=28 ttl=63 time=0.134 ms
64 bytes from 10.10.1.1: icmp_seq=29 ttl=63 time=0.047 ms
64 bytes from 10.10.1.1: icmp_seq=30 ttl=63 time=0.104 ms
64 bytes from 10.10.1.1: icmp_seq=31 ttl=63 time=0.042 ms
64 bytes from 10.10.1.1: icmp_seq=32 ttl=63 time=0.075 ms
64 bytes from 10.10.1.1: icmp_seq=33 ttl=63 time=0.219 ms
64 bytes from 10.10.1.1: icmp_seq=34 ttl=63 time=0.127 ms
64 bytes from 10.10.1.1: icmp_seq=35 ttl=63 time=0.067 ms
64 bytes from 10.10.1.1: icmp_seq=36 ttl=63 time=0.073 ms
64 bytes from 10.10.1.1: icmp_seq=37 ttl=63 time=0.039 ms
64 bytes from 10.10.1.1: icmp_seq=38 ttl=63 time=0.049 ms
64 bytes from 10.10.1.1: icmp_seq=39 ttl=63 time=0.191 ms
64 bytes from 10.10.1.1: icmp_seq=40 ttl=63 time=0.063 ms
64 bytes from 10.10.1.1: icmp_seq=41 ttl=63 time=0.052 ms
64 bytes from 10.10.1.1: icmp_seq=42 ttl=63 time=0.045 ms
64 bytes from 10.10.1.1: icmp_seq=43 ttl=63 time=0.098 ms
64 bytes from 10.10.1.1: icmp_seq=44 ttl=63 time=0.114 ms
64 bytes from 10.10.1.1: icmp_seq=45 ttl=63 time=0.222 ms
64 bytes from 10.10.1.1: icmp_seq=46 ttl=63 time=0.163 ms
64 bytes from 10.10.1.1: icmp_seq=47 ttl=63 time=0.074 ms
64 bytes from 10.10.1.1: icmp_seq=48 ttl=63 time=0.079 ms
64 bytes from 10.10.1.1: icmp_seq=49 ttl=63 time=0.058 ms
64 bytes from 10.10.1.1: icmp_seq=50 ttl=63 time=0.122 ms
