PING 10.10.2.1 (10.10.2.1) 56(84) bytes of data.
64 bytes from 10.10.2.1: icmp_seq=1 ttl=63 time=6426 ms
64 bytes from 10.10.2.1: icmp_seq=4 ttl=63 time=3757 ms
64 bytes from 10.10.2.1: icmp_seq=8 ttl=63 time=0.079 ms
64 bytes from 10.10.2.1: icmp_seq=5 ttl=63 time=3955 ms
64 bytes from 10.10.2.1: icmp_seq=9 ttl=63 time=0.140 ms
64 bytes from 10.10.2.1: icmp_seq=3 ttl=63 time=7910 ms
64 bytes from 10.10.2.1: icmp_seq=6 ttl=63 time=5593 ms
64 bytes from 10.10.2.1: icmp_seq=2 ttl=63 time=10607 ms
64 bytes from 10.10.2.1: icmp_seq=7 ttl=63 time=6064 ms
64 bytes from 10.10.2.1: icmp_seq=16 ttl=63 time=1028 ms
64 bytes from 10.10.2.1: icmp_seq=17 ttl=63 time=16.4 ms
64 bytes from 10.10.2.1: icmp_seq=18 ttl=63 time=0.133 ms
64 bytes from 10.10.2.1: icmp_seq=19 ttl=63 time=0.156 ms
64 bytes from 10.10.2.1: icmp_seq=20 ttl=63 time=0.272 ms
64 bytes from 10.10.2.1: icmp_seq=21 ttl=63 time=0.117 ms
64 bytes from 10.10.2.1: icmp_seq=22 ttl=63 time=0.046 ms
64 bytes from 10.10.2.1: icmp_seq=23 ttl=63 time=0.347 ms
64 bytes from 10.10.2.1: icmp_seq=24 ttl=63 time=0.050 ms
64 bytes from 10.10.2.1: icmp_seq=25 ttl=63 time=0.066 ms
64 bytes from 10.10.2.1: icmp_seq=26 ttl=63 time=0.036 ms
64 bytes from 10.10.2.1: icmp_seq=27 ttl=63 time=0.132 ms
64 bytes from 10.10.2.1: icmp_seq=28 ttl=63 time=0.105 ms
64 bytes from 10.10.2.1: icmp_seq=29 ttl=63 time=0.199 ms
64 bytes from 10.10.2.1: icmp_seq=30 ttl=63 time=0.038 ms
64 bytes from 10.10.2.1: icmp_seq=31 ttl=63 time=0.130 ms
64 bytes from 10.10.2.1: icmp_seq=32 ttl=63 time=0.051 ms
64 bytes from 10.10.2.1: icmp_seq=33 ttl=63 time=0.074 ms
64 bytes from 10.10.2.1: icmp_seq=34 ttl=63 time=0.068 ms
64 bytes from 10.10.2.1: icmp_seq=35 ttl=63 time=0.099 ms
64 bytes from 10.10.2.1: icmp_seq=36 ttl=63 time=0.059 ms
64 bytes from 10.10.2.1: icmp_seq=37 ttl=63 time=0.040 ms
64 bytes from 10.10.2.1: icmp_seq=38 ttl=63 time=0.055 ms
64 bytes from 10.10.2.1: icmp_seq=39 ttl=63 time=0.068 ms
64 bytes from 10.10.2.1: icmp_seq=40 ttl=63 time=0.046 ms
64 bytes from 10.10.2.1: icmp_seq=41 ttl=63 time=0.041 ms
64 bytes from 10.10.2.1: icmp_seq=42 ttl=63 time=0.065 ms
64 bytes from 10.10.2.1: icmp_seq=43 ttl=63 time=0.052 ms
64 bytes from 10.10.2.1: icmp_seq=44 ttl=63 time=0.068 ms
64 bytes from 10.10.2.1: icmp_seq=45 ttl=63 time=0.154 ms
64 bytes from 10.10.2.1: icmp_seq=46 ttl=63 time=0.050 ms
64 bytes from 10.10.2.1: icmp_seq=47 ttl=63 time=0.208 ms
64 bytes from 10.10.2.1: icmp_seq=48 ttl=63 time=0.100 ms
64 bytes from 10.10.2.1: icmp_seq=49 ttl=63 time=0.115 ms
64 bytes from 10.10.2.1: icmp_seq=50 ttl=63 time=0.103 ms
