PING 10.10.14.1 (10.10.14.1) 56(84) bytes of data.
64 bytes from 10.10.14.1: icmp_seq=1 ttl=63 time=5146 ms
64 bytes from 10.10.14.1: icmp_seq=4 ttl=63 time=2839 ms
64 bytes from 10.10.14.1: icmp_seq=7 ttl=63 time=0.048 ms
64 bytes from 10.10.14.1: icmp_seq=3 ttl=63 time=5011 ms
64 bytes from 10.10.14.1: icmp_seq=8 ttl=63 time=0.132 ms
64 bytes from 10.10.14.1: icmp_seq=5 ttl=63 time=3143 ms
64 bytes from 10.10.14.1: icmp_seq=9 ttl=63 time=0.087 ms
64 bytes from 10.10.14.1: icmp_seq=2 ttl=63 time=7331 ms
64 bytes from 10.10.14.1: icmp_seq=6 ttl=63 time=4173 ms
64 bytes from 10.10.14.1: icmp_seq=13 ttl=63 time=1589 ms
64 bytes from 10.10.14.1: icmp_seq=14 ttl=63 time=565 ms
64 bytes from 10.10.14.1: icmp_seq=15 ttl=63 time=0.026 ms
64 bytes from 10.10.14.1: icmp_seq=16 ttl=63 time=0.059 ms
64 bytes from 10.10.14.1: icmp_seq=17 ttl=63 time=0.667 ms
64 bytes from 10.10.14.1: icmp_seq=18 ttl=63 time=0.034 ms
64 bytes from 10.10.14.1: icmp_seq=19 ttl=63 time=0.030 ms
64 bytes from 10.10.14.1: icmp_seq=20 ttl=63 time=0.245 ms
64 bytes from 10.10.14.1: icmp_seq=21 ttl=63 time=0.157 ms
64 bytes from 10.10.14.1: icmp_seq=22 ttl=63 time=0.047 ms
64 bytes from 10.10.14.1: icmp_seq=23 ttl=63 time=0.071 ms
64 bytes from 10.10.14.1: icmp_seq=24 ttl=63 time=0.102 ms
64 bytes from 10.10.14.1: icmp_seq=25 ttl=63 time=0.034 ms
64 bytes from 10.10.14.1: icmp_seq=26 ttl=63 time=0.029 ms
64 bytes from 10.10.14.1: icmp_seq=27 ttl=63 time=0.040 ms
64 bytes from 10.10.14.1: icmp_seq=28 ttl=63 time=0.105 ms
64 bytes from 10.10.14.1: icmp_seq=29 ttl=63 time=0.070 ms
64 bytes from 10.10.14.1: icmp_seq=30 ttl=63 time=0.171 ms
64 bytes from 10.10.14.1: icmp_seq=31 ttl=63 time=0.056 ms
64 bytes from 10.10.14.1: icmp_seq=32 ttl=63 time=0.120 ms
64 bytes from 10.10.14.1: icmp_seq=33 ttl=63 time=0.086 ms
64 bytes from 10.10.14.1: icmp_seq=34 ttl=63 time=0.059 ms
64 bytes from 10.10.14.1: icmp_seq=35 ttl=63 time=0.122 ms
64 bytes from 10.10.14.1: icmp_seq=36 ttl=63 time=0.064 ms
64 bytes from 10.10.14.1: icmp_seq=37 ttl=63 time=0.081 ms
64 bytes from 10.10.14.1: icmp_seq=38 ttl=63 time=0.131 ms
64 bytes from 10.10.14.1: icmp_seq=39 ttl=63 time=0.079 ms
64 bytes from 10.10.14.1: icmp_seq=40 ttl=63 time=0.106 ms
64 bytes from 10.10.14.1: icmp_seq=41 ttl=63 time=0.035 ms
64 bytes from 10.10.14.1: icmp_seq=42 ttl=63 time=0.060 ms
64 bytes from 10.10.14.1: icmp_seq=43 ttl=63 time=0.212 ms
64 bytes from 10.10.14.1: icmp_seq=44 ttl=63 time=0.036 ms
64 bytes from 10.10.14.1: icmp_seq=45 ttl=63 time=0.034 ms
64 bytes from 10.10.14.1: icmp_seq=46 ttl=63 time=0.060 ms
64 bytes from 10.10.14.1: icmp_seq=47 ttl=63 time=0.061 ms
64 bytes from 10.10.14.1: icmp_seq=48 ttl=63 time=0.073 ms
64 bytes from 10.10.14.1: icmp_seq=49 ttl=63 time=0.091 ms
64 bytes from 10.10.14.1: icmp_seq=50 ttl=63 time=0.117 ms

--- 10.10.14.1 ping statistics ---
50 packets transmitted, 47 received, 6% packet loss, time 49816ms
rtt min/avg/max/mdev = 0.026/634.137/7331.546/1628.628 ms, pipe 8
