PING 10.10.7.1 (10.10.7.1) 56(84) bytes of data.
64 bytes from 10.10.7.1: icmp_seq=1 ttl=63 time=7375 ms
64 bytes from 10.10.7.1: icmp_seq=9 ttl=63 time=0.050 ms
64 bytes from 10.10.7.1: icmp_seq=3 ttl=63 time=6733 ms
64 bytes from 10.10.7.1: icmp_seq=5 ttl=63 time=5047 ms
64 bytes from 10.10.7.1: icmp_seq=2 ttl=63 time=8226 ms
64 bytes from 10.10.7.1: icmp_seq=6 ttl=63 time=6983 ms
64 bytes from 10.10.7.1: icmp_seq=4 ttl=63 time=10691 ms
64 bytes from 10.10.7.1: icmp_seq=7 ttl=63 time=7847 ms
64 bytes from 10.10.7.1: icmp_seq=8 ttl=63 time=7783 ms
64 bytes from 10.10.7.1: icmp_seq=16 ttl=63 time=618 ms
64 bytes from 10.10.7.1: icmp_seq=17 ttl=63 time=0.073 ms
64 bytes from 10.10.7.1: icmp_seq=18 ttl=63 time=0.072 ms
64 bytes from 10.10.7.1: icmp_seq=19 ttl=63 time=0.034 ms
64 bytes from 10.10.7.1: icmp_seq=20 ttl=63 time=0.034 ms
64 bytes from 10.10.7.1: icmp_seq=21 ttl=63 time=0.087 ms
64 bytes from 10.10.7.1: icmp_seq=22 ttl=63 time=0.038 ms
64 bytes from 10.10.7.1: icmp_seq=23 ttl=63 time=0.066 ms
64 bytes from 10.10.7.1: icmp_seq=24 ttl=63 time=0.030 ms
64 bytes from 10.10.7.1: icmp_seq=25 ttl=63 time=0.079 ms
64 bytes from 10.10.7.1: icmp_seq=26 ttl=63 time=0.040 ms
64 bytes from 10.10.7.1: icmp_seq=27 ttl=63 time=0.105 ms
64 bytes from 10.10.7.1: icmp_seq=28 ttl=63 time=0.081 ms
64 bytes from 10.10.7.1: icmp_seq=29 ttl=63 time=0.477 ms
64 bytes from 10.10.7.1: icmp_seq=30 ttl=63 time=0.111 ms
64 bytes from 10.10.7.1: icmp_seq=31 ttl=63 time=0.248 ms
64 bytes from 10.10.7.1: icmp_seq=32 ttl=63 time=0.040 ms
64 bytes from 10.10.7.1: icmp_seq=33 ttl=63 time=0.244 ms
64 bytes from 10.10.7.1: icmp_seq=34 ttl=63 time=0.039 ms
64 bytes from 10.10.7.1: icmp_seq=35 ttl=63 time=0.034 ms
64 bytes from 10.10.7.1: icmp_seq=36 ttl=63 time=0.068 ms
64 bytes from 10.10.7.1: icmp_seq=37 ttl=63 time=0.046 ms
64 bytes from 10.10.7.1: icmp_seq=38 ttl=63 time=0.306 ms
64 bytes from 10.10.7.1: icmp_seq=39 ttl=63 time=0.101 ms
64 bytes from 10.10.7.1: icmp_seq=40 ttl=63 time=0.061 ms
64 bytes from 10.10.7.1: icmp_seq=41 ttl=63 time=0.193 ms
64 bytes from 10.10.7.1: icmp_seq=42 ttl=63 time=0.053 ms
64 bytes from 10.10.7.1: icmp_seq=43 ttl=63 time=0.204 ms
64 bytes from 10.10.7.1: icmp_seq=44 ttl=63 time=0.046 ms
64 bytes from 10.10.7.1: icmp_seq=45 ttl=63 time=0.046 ms
64 bytes from 10.10.7.1: icmp_seq=46 ttl=63 time=0.046 ms
64 bytes from 10.10.7.1: icmp_seq=47 ttl=63 time=0.033 ms
64 bytes from 10.10.7.1: icmp_seq=48 ttl=63 time=0.049 ms
64 bytes from 10.10.7.1: icmp_seq=49 ttl=63 time=0.036 ms
64 bytes from 10.10.7.1: icmp_seq=50 ttl=63 time=0.036 ms
