PING 10.10.16.1 (10.10.16.1) 56(84) bytes of data.
64 bytes from 10.10.16.1: icmp_seq=1 ttl=63 time=10940 ms
64 bytes from 10.10.16.1: icmp_seq=7 ttl=63 time=5342 ms
64 bytes from 10.10.16.1: icmp_seq=4 ttl=63 time=9460 ms
64 bytes from 10.10.16.1: icmp_seq=2 ttl=63 time=12328 ms
64 bytes from 10.10.16.1: icmp_seq=13 ttl=63 time=1233 ms
64 bytes from 10.10.16.1: icmp_seq=14 ttl=63 time=232 ms
64 bytes from 10.10.16.1: icmp_seq=8 ttl=63 time=6614 ms
64 bytes from 10.10.16.1: icmp_seq=15 ttl=63 time=0.168 ms
64 bytes from 10.10.16.1: icmp_seq=5 ttl=63 time=10179 ms
64 bytes from 10.10.16.1: icmp_seq=3 ttl=63 time=12954 ms
64 bytes from 10.10.16.1: icmp_seq=16 ttl=63 time=0.052 ms
64 bytes from 10.10.16.1: icmp_seq=6 ttl=63 time=10179 ms
64 bytes from 10.10.16.1: icmp_seq=17 ttl=63 time=0.108 ms
64 bytes from 10.10.16.1: icmp_seq=18 ttl=63 time=0.118 ms
64 bytes from 10.10.16.1: icmp_seq=19 ttl=63 time=0.038 ms
64 bytes from 10.10.16.1: icmp_seq=20 ttl=63 time=0.207 ms
64 bytes from 10.10.16.1: icmp_seq=21 ttl=63 time=0.039 ms
64 bytes from 10.10.16.1: icmp_seq=22 ttl=63 time=0.192 ms
64 bytes from 10.10.16.1: icmp_seq=23 ttl=63 time=0.119 ms
64 bytes from 10.10.16.1: icmp_seq=24 ttl=63 time=0.138 ms
64 bytes from 10.10.16.1: icmp_seq=25 ttl=63 time=0.042 ms
64 bytes from 10.10.16.1: icmp_seq=26 ttl=63 time=0.032 ms
64 bytes from 10.10.16.1: icmp_seq=27 ttl=63 time=0.177 ms
64 bytes from 10.10.16.1: icmp_seq=28 ttl=63 time=0.045 ms
64 bytes from 10.10.16.1: icmp_seq=29 ttl=63 time=0.085 ms
64 bytes from 10.10.16.1: icmp_seq=30 ttl=63 time=0.100 ms
64 bytes from 10.10.16.1: icmp_seq=31 ttl=63 time=0.110 ms
64 bytes from 10.10.16.1: icmp_seq=32 ttl=63 time=0.248 ms
64 bytes from 10.10.16.1: icmp_seq=33 ttl=63 time=0.169 ms
64 bytes from 10.10.16.1: icmp_seq=34 ttl=63 time=0.087 ms
64 bytes from 10.10.16.1: icmp_seq=35 ttl=63 time=0.104 ms
64 bytes from 10.10.16.1: icmp_seq=36 ttl=63 time=0.036 ms
64 bytes from 10.10.16.1: icmp_seq=37 ttl=63 time=0.051 ms
64 bytes from 10.10.16.1: icmp_seq=38 ttl=63 time=0.131 ms
64 bytes from 10.10.16.1: icmp_seq=39 ttl=63 time=0.146 ms
64 bytes from 10.10.16.1: icmp_seq=40 ttl=63 time=0.123 ms
64 bytes from 10.10.16.1: icmp_seq=41 ttl=63 time=0.121 ms
64 bytes from 10.10.16.1: icmp_seq=42 ttl=63 time=0.091 ms
64 bytes from 10.10.16.1: icmp_seq=43 ttl=63 time=0.073 ms
64 bytes from 10.10.16.1: icmp_seq=44 ttl=63 time=0.186 ms
64 bytes from 10.10.16.1: icmp_seq=45 ttl=63 time=0.120 ms
64 bytes from 10.10.16.1: icmp_seq=46 ttl=63 time=0.054 ms
64 bytes from 10.10.16.1: icmp_seq=47 ttl=63 time=0.200 ms
64 bytes from 10.10.16.1: icmp_seq=48 ttl=63 time=0.065 ms
64 bytes from 10.10.16.1: icmp_seq=49 ttl=63 time=0.137 ms
64 bytes from 10.10.16.1: icmp_seq=50 ttl=63 time=0.050 ms
