PING 10.10.13.1 (10.10.13.1) 56(84) bytes of data.
64 bytes from 10.10.13.1: icmp_seq=1 ttl=63 time=7441 ms
64 bytes from 10.10.13.1: icmp_seq=3 ttl=63 time=5826 ms
64 bytes from 10.10.13.1: icmp_seq=9 ttl=63 time=0.084 ms
64 bytes from 10.10.13.1: icmp_seq=5 ttl=63 time=4735 ms
64 bytes from 10.10.13.1: icmp_seq=2 ttl=63 time=8123 ms
64 bytes from 10.10.13.1: icmp_seq=6 ttl=63 time=6021 ms
64 bytes from 10.10.13.1: icmp_seq=4 ttl=63 time=8722 ms
64 bytes from 10.10.13.1: icmp_seq=7 ttl=63 time=6383 ms
64 bytes from 10.10.13.1: icmp_seq=8 ttl=63 time=6209 ms
64 bytes from 10.10.13.1: icmp_seq=13 ttl=63 time=1931 ms
64 bytes from 10.10.13.1: icmp_seq=14 ttl=63 time=929 ms
64 bytes from 10.10.13.1: icmp_seq=15 ttl=63 time=0.072 ms
64 bytes from 10.10.13.1: icmp_seq=16 ttl=63 time=0.155 ms
64 bytes from 10.10.13.1: icmp_seq=17 ttl=63 time=0.227 ms
64 bytes from 10.10.13.1: icmp_seq=18 ttl=63 time=0.100 ms
64 bytes from 10.10.13.1: icmp_seq=19 ttl=63 time=0.058 ms
64 bytes from 10.10.13.1: icmp_seq=20 ttl=63 time=0.043 ms
64 bytes from 10.10.13.1: icmp_seq=21 ttl=63 time=0.065 ms
64 bytes from 10.10.13.1: icmp_seq=22 ttl=63 time=0.026 ms
64 bytes from 10.10.13.1: icmp_seq=23 ttl=63 time=0.073 ms
64 bytes from 10.10.13.1: icmp_seq=24 ttl=63 time=0.039 ms
64 bytes from 10.10.13.1: icmp_seq=25 ttl=63 time=0.058 ms
64 bytes from 10.10.13.1: icmp_seq=26 ttl=63 time=0.038 ms
64 bytes from 10.10.13.1: icmp_seq=27 ttl=63 time=0.034 ms
64 bytes from 10.10.13.1: icmp_seq=28 ttl=63 time=0.028 ms
64 bytes from 10.10.13.1: icmp_seq=29 ttl=63 time=0.026 ms
64 bytes from 10.10.13.1: icmp_seq=30 ttl=63 time=0.069 ms
64 bytes from 10.10.13.1: icmp_seq=31 ttl=63 time=0.041 ms
64 bytes from 10.10.13.1: icmp_seq=32 ttl=63 time=0.036 ms
64 bytes from 10.10.13.1: icmp_seq=33 ttl=63 time=0.039 ms
64 bytes from 10.10.13.1: icmp_seq=34 ttl=63 time=0.168 ms
64 bytes from 10.10.13.1: icmp_seq=35 ttl=63 time=0.041 ms
64 bytes from 10.10.13.1: icmp_seq=36 ttl=63 time=0.033 ms
64 bytes from 10.10.13.1: icmp_seq=37 ttl=63 time=0.027 ms
64 bytes from 10.10.13.1: icmp_seq=38 ttl=63 time=0.054 ms
64 bytes from 10.10.13.1: icmp_seq=39 ttl=63 time=0.043 ms
64 bytes from 10.10.13.1: icmp_seq=40 ttl=63 time=0.077 ms
64 bytes from 10.10.13.1: icmp_seq=41 ttl=63 time=0.027 ms
64 bytes from 10.10.13.1: icmp_seq=42 ttl=63 time=0.235 ms
64 bytes from 10.10.13.1: icmp_seq=43 ttl=63 time=0.071 ms
64 bytes from 10.10.13.1: icmp_seq=44 ttl=63 time=0.040 ms
64 bytes from 10.10.13.1: icmp_seq=45 ttl=63 time=0.360 ms
64 bytes from 10.10.13.1: icmp_seq=46 ttl=63 time=0.030 ms
64 bytes from 10.10.13.1: icmp_seq=47 ttl=63 time=0.166 ms
64 bytes from 10.10.13.1: icmp_seq=48 ttl=63 time=0.055 ms
64 bytes from 10.10.13.1: icmp_seq=49 ttl=63 time=0.046 ms
64 bytes from 10.10.13.1: icmp_seq=50 ttl=63 time=0.055 ms

--- 10.10.13.1 ping statistics ---
50 packets transmitted, 47 received, 6% packet loss, time 49893ms
rtt min/avg/max/mdev = 0.026/1198.435/8722.076/2553.507 ms, pipe 9
